Timestamp,Topo RA,Topo DEC,Geo RA,Geo DEC
1.65221E+12,267.8884263,5.986558545,270.2733441,0.055959114
1.65221E+12,269.1412354,5.982900244,271.5262194,0.052385506
1.65221E+12,270.394046,5.979211953,272.7791018,0.048786613
1.65221E+12,271.6468587,5.975495432,274.0319917,0.045164154
1.65221E+12,272.8996737,5.971752453,275.2848893,0.041519858
1.65221E+12,274.1524913,5.967984801,276.5377949,0.037855464
1.65221E+12,275.4053119,5.964194272,277.7907088,0.034172722
1.65221E+12,276.6581359,5.960382674,279.0436314,0.030473391
1.65221E+12,277.9109635,5.956551826,280.2965628,0.026759238
1.65221E+12,279.1637951,5.952703555,281.5495034,0.023032037
1.65221E+12,280.4166311,5.948839697,282.8024534,0.019293569
1.65221E+12,281.6694717,5.944962095,284.0554131,0.015545621
1.65221E+12,282.9223172,5.941072599,285.3083828,0.011789982
1.65221E+12,284.175168,5.937173064,286.5613626,0.008028448
1.65221E+12,285.4280244,5.933265351,287.814353,0.004262817
1.65221E+12,286.6808867,5.929351325,289.067354,0.000494889
1.65221E+12,287.9337553,5.925432853,290.3203659,-0.003273534
1.65221E+12,289.1866303,5.921511806,291.573389,-0.007040652
1.65221E+12,290.4395121,5.917590054,292.8264234,-0.010804661
1.65221E+12,291.692401,5.913669471,294.0794694,-0.014563763
1.65221E+12,292.9452973,5.909751926,295.3325272,-0.018316159
1.65221E+12,294.1982012,5.90583929,296.585597,-0.022060053
1.65221E+12,295.4511131,5.901933432,297.838679,-0.025793655
1.65221E+12,296.7040332,5.898036214,299.0917733,-0.029515179
1.65221E+12,297.9569617,5.8941495,300.3448802,-0.033222842
1.65221E+12,299.2098989,5.890275144,301.5979998,-0.036914871
1.65221E+12,300.4628451,5.886414997,302.8511322,-0.040589498
1.65221E+12,301.7158005,5.882570903,304.1042777,-0.044244962
1.65222E+12,302.9687654,5.878744699,305.3574363,-0.047879515
1.65222E+12,304.2217399,5.874938211,306.6106082,-0.051491416
1.65222E+12,305.4747244,5.871153258,307.8637935,-0.055078935
1.65222E+12,306.7277189,5.867391648,309.1169924,-0.058640353
